ADAMS,Hand Count
ASHLAND,Hand Count
BARRON,Hand Count
BAYFIELD,Hand Count
BROWN,Mixed
BUFFALO,Mixed
BURNETT,Hand Count
CALUMET,Hand Count
CHIPPEWA,Mixed
CLARK,Hand Count
COLUMBIA,Hand Count
CRAWFORD,Hand Count
DANE,Hand Count
DODGE,Hand Count
DOOR,Hand Count
DOUGLAS,Hand Count
DUNN,Mixed
EAU CLAIRE,Hand Count
FLORENCE,Hand Count
FOND DU LAC,Hand Count
FOREST,Optical Scan
GRANT,Mixed
GREEN,Hand Count
GREEN LAKE,Hand Count
IOWA,Hand Count
IRON,Hand Count
JACKSON,Hand Count
JEFFERSON,Hand Count
JUNEAU,Hand Count
KENOSHA,Hand Count
KEWAUNEE,Optical Scan
LA CROSSE,Hand Count
LAFAYETTE,Mixed
LANGLADE,Hand Count
LINCOLN,Hand Count
MANITOWOC,Hand Count
MARATHON,Hand Count
MARINETTE,Hand Count
MARQUETTE,Hand Count
MENOMINEE,Hand Count
MILWAUKEE,Optical Scan
MONROE,Hand Count
OCONTO,Hand Count
ONEIDA,Mixed
OUTAGAMIE,Mixed
OZAUKEE,Hand Count
PEPIN,Optical Scan
PIERCE,Hand Count
POLK,Hand Count
PORTAGE,Hand Count
PRICE,Hand Count
RACINE,Optical Scan
RICHLAND,Hand Count
ROCK,Optical Scan
RUSK,Mixed
SAUK,Hand Count
SAWYER,Hand Count
SHAWANO,Mixed
SHEBOYGAN,Optical Scan
ST. CROIX,Mixed
TAYLOR,Hand Count
TREMPEALEAU,Hand Count
VERNON,Hand Count
VILAS,Optical Scan
WALWORTH,Mixed
WASHBURN,Hand Count
WASHINGTON,Hand Count
WAUKESHA,Optical Scan
WAUPACA,Hand Count
WAUSHARA,Hand Count
WINNEBAGO,Hand Count
WOOD,Hand Count
